iso,trial,crc,known,good_banks,title,hdr_ok,i_mA
2026-09-02T12:55:10,1,f34b2202,,64,,0,70
2026-09-02T12:56:59,2,0c16513c,,64,,0,66
2026-09-02T12:58:49,3,5527071e,Super Mario RPG (Japan),64,SUPER MARIO RPG,1,69
2026-09-02T13:00:39,4,a68ec8db,,64,SUPER MARIO RPG,0,66
2026-09-02T13:02:29,5,afc07843,,64,SUPER MARIO RPG,0,65
2026-09-02T13:04:18,6,5527071e,Super Mario RPG (Japan),64,SUPER MARIO RPG,1,69
2026-09-02T13:06:09,7,5527071e,Super Mario RPG (Japan),64,SUPER MARIO RPG,1,68
2026-09-02T13:07:58,8,75fa1dee,,64,,0,66
2026-09-02T13:09:48,9,5527071e,Super Mario RPG (Japan),64,SUPER MARIO RPG,1,66
2026-09-02T13:11:37,10,5527071e,Super Mario RPG (Japan),64,SUPER MARIO RPG,1,65
2026-09-02T13:13:27,11,a8a7d648,,64,SUPER MARIO RPG,0,70
2026-09-02T13:15:17,12,10af0ed7,,64,,0,66
2026-09-02T13:17:06,13,841cd771,,64,,0,66
2026-09-02T13:18:57,14,5527071e,Super Mario RPG (Japan),64,SUPER MARIO RPG,1,66
2026-09-02T13:20:47,15,5527071e,Super Mario RPG (Japan),64,SUPER MARIO RPG,1,66
2026-09-02T13:22:36,16,11b3afb2,,64,,0,65
2026-09-02T13:24:26,17,5527071e,Super Mario RPG (Japan),64,SUPER MARIO RPG,1,66
2026-09-02T13:26:16,18,f96ceb6d,,64,SUPER MARIO RPG,0,66
2026-09-02T13:28:05,19,5527071e,Super Mario RPG (Japan),64,SUPER MARIO RPG,1,66
2026-09-02T13:29:55,20,5527071e,Super Mario RPG (Japan),64,SUPER MARIO RPG,1,66
2026-09-02T15:01:06,1,fc315bfd,,64,,0,73
2026-09-02T15:02:56,2,867518fd,,64,,0,71
2026-09-02T15:04:45,3,ea41fbb4,,64,,0,72
2026-09-02T15:06:35,4,336d64cd,,64,,0,69
2026-09-02T15:08:25,5,3b4142d1,,64,,0,70
2026-09-02T15:10:15,6,48c7391c,,64,,0,74
